"MP","LC","FC","VC"
1,11,0,24.3
2,11,0,23.25
3,11,0,37.3125
4,11,25900,49
5,11,19052,62.52
6,11,38134,77.15
7,11,86000,53.39
8,11,6000,100.09
9,11,6000,133.56
10,11,6000,132.33
11,11,6000,103.3
12,11,6000,138.2
13,11,6000,119.27
14,11,6000,97.59
15,11,6000,139.2
16,11,6000,130.68
17,11,6000,122.01
18,11,54000,44.5
19,11,40000,42
20,11,50000,45.5
21,11,70000,83.02
22,11,17000,74
23,11,17000,77
24,11,33000,89
25,11,0,99.7
26,11,0,115
27,11,0,180.3
28,11,0,98.7
29,11,0,69.13
30,11,101825,67.6
31,11,0,80.39
32,11,0,95
33,11,0,58.26
34,11,0,59.33
35,11,0,69.04
36,11,64943,52.09
37,11,64362,94.47
38,11,65000,62.28
39,11,105778,93.43
40,11,0,76.07
41,11,0,95
42,11,0,75.53
43,11,0,77.75
44,11,0,90
45,11,104205,53.82
46,11,148076,85.14
47,11,0,69.74
48,11,0,70.37
49,11,0,95
50,11,0,82.25
51,11,0,63.75
52,11,46495,92.23
53,11,49341,89.96
54,11,56007,88.87
55,11,1211444,106.92
56,11,0,45
57,11,77540,47.5
58,11,81550,42
59,11,81550,45
60,11,0,41
61,11,45000,40.5
62,11,44257,62.36
63,11,44257,62.36
64,11,44257,62.36
65,11,26016,99
66,11,56166,99
67,11,69784,74.08
68,11,69784,74.08
69,11,0,81.86
70,11,42256,82.38
71,11,45208,84.27
72,11,60588,81.62
73,11,39868,83.78
74,11,27709,100.16
75,12,80000,20
76,12,80000,12
77,12,140000,180
78,12,50000,38
79,12,50000,32
80,12,0,29.2
81,12,20000,29.3
82,12,20000,29.4
83,12,0,29.5
84,12,150000,76
85,12,150000,76.5
86,12,20000,73.5
87,12,20000,71.75
88,12,50000,73.5
89,12,57270,99
90,12,57270,99
