"I","PI0","PI1","QI","LI","TI"
1,180.3,180.3,10310.2,11,5
2,180,180,12.9,11,5
3,150,150,8.3,11,5
4,140,140,6.7,11,5
5,130,130,6.2,11,5
6,120,120,390.7,11,5
7,110,110,3.5,11,5
8,100,100,277.6,11,5
9,90,90,646.8,11,5
10,85,85,0.3,11,5
11,83.4,83.4,707.9,11,5
12,83,83,0.1,11,5
13,80,80,5.1,11,5
14,75,75,84.6,11,5
15,72.93,72.93,50.1,11,5
16,70.68,70.68,10.2,11,5
17,70,70,3.9,11,5
18,67.93,67.93,40,11,5
19,64.99,64.99,200,11,5
20,62.93,62.93,30,11,5
21,62.75,62.75,5.9,11,5
22,60,60,67.2,11,5
23,58.75,58.75,5.9,11,5
24,57.93,57.93,20,11,5
25,55.75,55.75,2.9,11,5
26,55,55,6.6,11,5
27,54.98,54.98,300,11,5
28,52.93,52.93,10,11,5
29,50,50,9.6,11,5
30,49.01,49.01,15,11,5
31,46.22,46.22,62.6,11,5
32,45.48,45.48,0.1,11,5
33,45,45,74.5,11,5
34,44.22,44.22,47,11,5
35,42.93,42.93,20,11,5
36,42.4,42.4,20,11,5
37,42.35,42.35,61.2,11,5
38,42.22,42.22,47,11,5
39,41.93,41.93,20,11,5
40,40.93,40.93,20,11,5
41,40.22,40.22,47,11,5
42,40,40,45,11,5
43,39.93,39.93,20.1,11,5
44,39.4,39.4,20,11,5
45,39,39,100,11,5
46,38.93,38.93,20.1,11,5
47,38.22,38.22,47,11,5
48,37.93,37.93,20.1,11,5
49,37.91,37.91,47.7,11,5
50,37.4,37.4,10,11,5
51,36.93,36.93,20.1,11,5
52,36,36,50,11,5
53,35.95,35.95,0.9,11,5
54,35.93,35.93,20.1,11,5
55,35,35,36,11,5
56,34.93,34.93,20.1,11,5
57,33.93,33.93,20,11,5
58,33.22,33.22,62.6,11,5
59,32.93,32.93,20,11,5
60,32.68,32.68,20,11,5
61,32.5,32.5,25,11,5
62,32.43,32.43,20,11,5
63,32.18,32.18,20,11,5
64,31.93,31.93,20,11,5
65,30,30,212.4,11,5
66,29.51,29.51,25,11,5
67,29,29,0.6,11,5
68,28.95,28.95,0.8,11,5
69,28.1,28.1,3.4,11,5
70,27.52,27.52,25,11,5
71,27,27,30,11,5
72,26.06,26.06,1.4,11,5
73,26,26,50,11,5
74,25,25,695.1,11,5
75,23.5,23.5,190,11,5
76,21,21,99,11,5
77,20.13,20.13,52,11,5
78,20.1,20.1,190,11,5
79,20,20,201.7,11,5
80,19.99,19.99,73,11,5
81,18,18,1.7,11,5
82,17.13,17.13,52,11,5
83,17,17,90,11,5
84,16,16,138,11,5
85,15.13,15.13,52,11,5
86,15,15,72.8,11,5
87,14.99,14.99,280,11,5
88,14,14,138,11,5
89,12.43,12.43,35.9,11,5
90,12,12,138,11,5
91,10,10,264.1,11,5
92,9.5,9.5,200,11,5
93,9,9,138,11,5
94,7.18,7.18,35.9,11,5
95,5,5,98.1,11,5
96,2,2,10,11,5
97,1.93,1.93,35.9,11,5
98,1.5,1.5,3.3,11,5
99,1,1,51.4,11,5
100,0.5,0.5,53,11,5
101,0.1,0.1,73.4,11,5
102,0,0,7595.1,11,5
103,180.3,180.3,10693.1,11,6
104,180,180,14.2,11,6
105,150,150,8.5,11,6
106,140,140,6.6,11,6
107,130,130,6.3,11,6
108,120,120,385.3,11,6
109,110,110,3.7,11,6
110,100,100,284.8,11,6
111,90,90,679.2,11,6
112,85,85,706,11,6
113,83,83,0.1,11,6
114,80,80,5.6,11,6
115,76.16,76.16,50,11,6
116,75,75,90.7,11,6
117,73,73,11,11,6
118,71.16,71.16,40,11,6
119,70,70,4.1,11,6
120,66.16,66.16,30.1,11,6
121,64.99,64.99,200,11,6
122,62.75,62.75,6.3,11,6
123,61.16,61.16,20,11,6
124,60,60,67.2,11,6
125,58.75,58.75,6.3,11,6
126,56.16,56.16,10.1,11,6
127,55.75,55.75,3.1,11,6
128,55,55,6.4,11,6
129,54.98,54.98,300,11,6
130,50,50,10.2,11,6
131,49.6,49.6,0.1,11,6
132,49.37,49.37,68.1,11,6
133,49.01,49.01,15.7,11,6
134,47.37,47.37,51.1,11,6
135,46.16,46.16,20,11,6
136,45.37,45.37,51.1,11,6
137,45.16,45.16,20,11,6
138,45,45,303.5,11,6
139,44.16,44.16,20,11,6
140,43.37,43.37,51.1,11,6
141,43.16,43.16,20,11,6
142,42.4,42.4,20,11,6
143,42.35,42.35,61.2,11,6
144,42.16,42.16,20,11,6
145,41.37,41.37,51.1,11,6
146,41.16,41.16,20,11,6
147,40.5,40.5,0.5,11,6
148,40.36,40.36,47.2,11,6
149,40.16,40.16,20,11,6
150,40,40,73.5,11,6
151,39.4,39.4,20,11,6
152,39.16,39.16,20,11,6
153,38.16,38.16,20,11,6
154,38,38,50,11,6
155,37.4,37.4,10,11,6
156,37.25,37.25,0.9,11,6
157,37.16,37.16,20,11,6
158,36.37,36.37,68.1,11,6
