"H","PH","QH","TH","MP","AR","LH","VH"
1,18.7125,-175,1,1,0.6,11,49.9
2,18.7125,-45,1,1,0,11,49.9
3,18.7125,-5,1,1,0,11,49.9
4,19.125,-10,1,1,0,11,49.9
5,19.3125,-10,1,1,0,11,49.9
6,19.6875,-10,1,1,0,11,49.9
7,20.25,-15,1,1,0,11,49.9
8,20.625,-15,1,1,0,11,49.9
9,67.6125,-500.2,1,1,0,11,49.9
10,18.7125,-220,2,1,0.6,11,49.9
11,18.7125,-5,2,1,0,11,49.9
12,19.125,-10,2,1,0,11,49.9
13,19.3125,-10,2,1,0,11,49.9
14,19.5,-10,2,1,0,11,49.9
15,19.6875,-10,2,1,0,11,49.9
16,20.25,-10,2,1,0,11,49.9
17,20.625,-10,2,1,0,11,49.9
18,67.6125,-500.2,2,1,0,11,49.9
19,18.7125,-220,3,1,0.6,11,49.9
20,18.7125,-5,3,1,0,11,49.9
21,19.125,-10,3,1,0,11,49.9
22,19.3125,-10,3,1,0,11,49.9
23,19.5,-10,3,1,0,11,49.9
24,19.6875,-10,3,1,0,11,49.9
25,20.25,-10,3,1,0,11,49.9
26,20.625,-10,3,1,0,11,49.9
27,67.6125,-500.2,3,1,0,11,49.9
28,18.7125,-220,4,1,0.6,11,49.9
29,18.7125,-5,4,1,0,11,49.9
30,19.125,-10,4,1,0,11,49.9
31,19.3125,-10,4,1,0,11,49.9
32,19.5,-10,4,1,0,11,49.9
33,19.6875,-10,4,1,0,11,49.9
34,20.25,-10,4,1,0,11,49.9
35,20.625,-10,4,1,0,11,49.9
36,67.6125,-500.2,4,1,0,11,49.9
37,18.7125,-220,5,1,0.6,11,49.9
38,67.6125,-565.2,5,1,0,11,49.9
39,18.7125,-210,6,1,0.6,11,49.9
40,67.6125,-575.2,6,1,0,11,49.9
41,18.7125,-240,7,1,0.6,11,49.9
42,67.6125,-545.2,7,1,0,11,49.9
43,18.7125,-385,8,1,0.6,11,49.9
44,67.6125,-400.2,8,1,0,11,49.9
45,18.7125,-445,9,1,0.6,11,49.9
46,18.7125,-15,9,1,0,11,49.9
47,19.125,-20,9,1,0,11,49.9
48,19.3125,-40,9,1,0,11,49.9
49,19.5,-40,9,1,0,11,49.9
50,19.6875,-40,9,1,0,11,49.9
51,20.25,-50,9,1,0,11,49.9
52,20.625,-50,9,1,0,11,49.9
53,67.6125,-85.2,9,1,0,11,49.9
54,18.7125,-445,10,1,0.6,11,49.9
55,18.7125,-15,10,1,0,11,49.9
56,19.125,-20,10,1,0,11,49.9
57,19.3125,-40,10,1,0,11,49.9
58,19.5,-40,10,1,0,11,49.9
59,19.6875,-40,10,1,0,11,49.9
60,20.25,-50,10,1,0,11,49.9
61,20.625,-50,10,1,0,11,49.9
62,67.6125,-85.2,10,1,0,11,49.9
63,18.7125,-445,11,1,0.6,11,49.9
64,18.7125,-15,11,1,0,11,49.9
65,19.125,-20,11,1,0,11,49.9
66,19.3125,-40,11,1,0,11,49.9
67,19.5,-40,11,1,0,11,49.9
68,19.6875,-40,11,1,0,11,49.9
69,20.25,-50,11,1,0,11,49.9
70,20.625,-50,11,1,0,11,49.9
71,67.6125,-85.2,11,1,0,11,49.9
72,18.7125,-445,12,1,0.6,11,49.9
73,18.7125,-15,12,1,0,11,49.9
74,19.125,-20,12,1,0,11,49.9
75,19.3125,-40,12,1,0,11,49.9
76,19.5,-40,12,1,0,11,49.9
77,19.6875,-40,12,1,0,11,49.9
78,20.25,-50,12,1,0,11,49.9
79,20.625,-50,12,1,0,11,49.9
80,67.6125,-85.2,12,1,0,11,49.9
81,18.7125,-445,13,1,0.6,11,49.9
82,18.7125,-15,13,1,0,11,49.9
83,19.125,-20,13,1,0,11,49.9
84,19.3125,-40,13,1,0,11,49.9
85,19.5,-40,13,1,0,11,49.9
86,19.6875,-40,13,1,0,11,49.9
87,20.25,-50,13,1,0,11,49.9
88,20.625,-50,13,1,0,11,49.9
89,67.6125,-85.2,13,1,0,11,49.9
90,18.7125,-445,14,1,0.6,11,49.9
91,18.7125,-15,14,1,0,11,49.9
92,19.125,-20,14,1,0,11,49.9
93,19.3125,-40,14,1,0,11,49.9
94,19.5,-40,14,1,0,11,49.9
95,19.6875,-40,14,1,0,11,49.9
96,20.25,-50,14,1,0,11,49.9
97,20.625,-50,14,1,0,11,49.9
98,67.6125,-85.2,14,1,0,11,49.9
99,18.7125,-445,15,1,0.6,11,49.9
100,18.7125,-15,15,1,0,11,49.9
101,19.125,-20,15,1,0,11,49.9
102,19.3125,-40,15,1,0,11,49.9
103,19.5,-40,15,1,0,11,49.9
104,19.6875,-40,15,1,0,11,49.9
105,20.25,-50,15,1,0,11,49.9
106,20.625,-50,15,1,0,11,49.9
107,67.6125,-85.2,15,1,0,11,49.9
108,18.7125,-445,16,1,0.6,11,49.9
109,18.7125,-15,16,1,0,11,49.9
110,19.125,-20,16,1,0,11,49.9
111,19.3125,-40,16,1,0,11,49.9
112,19.5,-40,16,1,0,11,49.9
113,19.6875,-40,16,1,0,11,49.9
114,20.25,-50,16,1,0,11,49.9
115,20.625,-50,16,1,0,11,49.9
116,67.6125,-85.2,16,1,0,11,49.9
117,18.7125,-445,17,1,0.6,11,49.9
118,18.7125,-15,17,1,0,11,49.9
119,19.125,-20,17,1,0,11,49.9
120,19.3125,-40,17,1,0,11,49.9
121,19.5,-40,17,1,0,11,49.9
122,19.6875,-40,17,1,0,11,49.9
123,20.25,-50,17,1,0,11,49.9
124,20.625,-50,17,1,0,11,49.9
125,67.6125,-85.2,17,1,0,11,49.9
126,18.7125,-445,18,1,0.6,11,49.9
127,18.7125,-15,18,1,0,11,49.9
128,19.125,-20,18,1,0,11,49.9
129,19.3125,-40,18,1,0,11,49.9
130,19.5,-40,18,1,0,11,49.9
131,19.6875,-40,18,1,0,11,49.9
132,20.25,-50,18,1,0,11,49.9
133,20.625,-50,18,1,0,11,49.9
134,67.6125,-85.2,18,1,0,11,49.9
135,18.7125,-445,19,1,0.6,11,49.9
136,18.7125,-15,19,1,0,11,49.9
137,19.125,-20,19,1,0,11,49.9
138,19.3125,-40,19,1,0,11,49.9
139,19.5,-40,19,1,0,11,49.9
140,19.6875,-40,19,1,0,11,49.9
141,20.25,-50,19,1,0,11,49.9
142,20.625,-50,19,1,0,11,49.9
143,67.6125,-85.2,19,1,0,11,49.9
144,18.7125,-445,20,1,0.6,11,49.9
145,18.7125,-15,20,1,0,11,49.9
146,19.125,-20,20,1,0,11,49.9
147,19.3125,-40,20,1,0,11,49.9
148,19.5,-40,20,1,0,11,49.9
149,19.6875,-40,20,1,0,11,49.9
150,20.25,-50,20,1,0,11,49.9
151,20.625,-50,20,1,0,11,49.9
152,67.6125,-85.2,20,1,0,11,49.9
153,18.7125,-445,21,1,0.6,11,49.9
154,18.7125,-15,21,1,0,11,49.9
155,19.125,-20,21,1,0,11,49.9
156,19.3125,-40,21,1,0,11,49.9
157,19.5,-40,21,1,0,11,49.9
158,19.6875,-40,21,1,0,11,49.9
159,20.25,-50,21,1,0,11,49.9
160,20.625,-50,21,1,0,11,49.9
161,67.6125,-85.2,21,1,0,11,49.9
162,18.7125,-445,22,1,0.6,11,49.9
163,18.7125,-15,22,1,0,11,49.9
164,19.125,-20,22,1,0,11,49.9
165,19.3125,-40,22,1,0,11,49.9
166,19.5,-40,22,1,0,11,49.9
167,19.6875,-40,22,1,0,11,49.9
168,20.25,-50,22,1,0,11,49.9
169,20.625,-50,22,1,0,11,49.9
170,67.6125,-85.2,22,1,0,11,49.9
171,18.7125,-445,23,1,0.6,11,49.9
172,18.7125,-15,23,1,0,11,49.9
173,19.125,-20,23,1,0,11,49.9
174,19.3125,-40,23,1,0,11,49.9
175,19.5,-40,23,1,0,11,49.9
176,19.6875,-40,23,1,0,11,49.9
177,20.25,-50,23,1,0,11,49.9
178,20.625,-50,23,1,0,11,49.9
179,67.6125,-85.2,23,1,0,11,49.9
180,18.7125,-445,24,1,0.6,11,49.9
181,18.7125,-15,24,1,0,11,49.9
182,19.125,-20,24,1,0,11,49.9
183,19.3125,-40,24,1,0,11,49.9
184,19.5,-40,24,1,0,11,49.9
185,19.6875,-40,24,1,0,11,49.9
186,20.25,-50,24,1,0,11,49.9
187,20.625,-50,24,1,0,11,49.9
188,67.6125,-85.2,24,1,0,11,49.9
189,67.6125,-402.2,1,2,0.6,11,61.3
190,67.6125,-402.2,2,2,0.6,11,61.3
191,67.6125,-402.2,3,2,0.6,11,61.3
192,67.6125,-402.2,4,2,0.6,11,61.3
193,67.6125,-402.2,5,2,0.6,11,61.3
194,67.6125,-402.2,6,2,0.6,11,61.3
195,67.6125,-402.2,7,2,0.6,11,61.3
196,67.6125,-402.2,8,2,0.6,11,61.3
197,22.9875,-80,9,2,0.6,11,61.3
198,67.6125,-322.2,9,2,0,11,61.3
199,22.9875,-120,10,2,0.6,11,61.3
200,67.6125,-282.2,10,2,0,11,61.3
201,22.9875,-120,11,2,0.6,11,61.3
202,67.6125,-282.2,11,2,0,11,61.3
203,22.9875,-120,12,2,0.6,11,61.3
204,67.6125,-282.2,12,2,0,11,61.3
205,22.9875,-120,13,2,0.6,11,61.3
206,67.6125,-282.2,13,2,0,11,61.3
207,22.9875,-135,14,2,0.6,11,61.3
208,67.6125,-267.2,14,2,0,11,61.3
209,22.9875,-275,15,2,0.6,11,61.3
210,67.6125,-127.2,15,2,0,11,61.3
211,22.9875,-381.9,16,2,0.6,11,61.3
212,67.6125,-20.3,16,2,0,11,61.3
213,22.9875,-383.3,17,2,0.6,11,61.3
214,67.6125,-18.9,17,2,0,11,61.3
215,22.9875,-384.9,18,2,0.6,11,61.3
216,67.6125,-17.3,18,2,0,11,61.3
217,22.9875,-386.2,19,2,0.6,11,61.3
218,67.6125,-16,19,2,0,11,61.3
219,22.9875,-386.9,20,2,0.6,11,61.3
220,67.6125,-15.3,20,2,0,11,61.3
221,22.9875,-388.1,21,2,0.6,11,61.3
222,67.6125,-14.1,21,2,0,11,61.3
223,22.9875,-388.9,22,2,0.6,11,61.3
224,67.6125,-13.3,22,2,0,11,61.3
225,22.9875,-389.2,23,2,0.6,11,61.3
226,67.6125,-13,23,2,0,11,61.3
227,22.9875,-389.4,24,2,0.6,11,61.3
228,67.6125,-12.8,24,2,0,11,61.3
229,67.6125,-397,1,3,0.6,11,59.4
230,67.6125,-397,2,3,0.6,11,59.4
231,67.6125,-397,3,3,0.6,11,59.4
232,67.6125,-397,4,3,0.6,11,59.4
233,67.6125,-397,5,3,0.6,11,59.4
234,67.6125,-397,6,3,0.6,11,59.4
235,67.6125,-397,7,3,0.6,11,59.4
236,67.6125,-397,8,3,0.6,11,59.4
237,22.275,-80,9,3,0.6,11,59.4
238,67.6125,-317,9,3,0,11,59.4
239,22.275,-120,10,3,0.6,11,59.4
240,67.6125,-277,10,3,0,11,59.4
241,22.275,-120,11,3,0.6,11,59.4
242,67.6125,-277,11,3,0,11,59.4
243,22.275,-120,12,3,0.6,11,59.4
244,67.6125,-277,12,3,0,11,59.4
245,22.275,-120,13,3,0.6,11,59.4
246,67.6125,-277,13,3,0,11,59.4
247,22.275,-160,14,3,0.6,11,59.4
248,67.6125,-237,14,3,0,11,59.4
249,22.275,-330,15,3,0.6,11,59.4
250,67.6125,-67,15,3,0,11,59.4
251,22.275,-380.9,16,3,0.6,11,59.4
252,67.6125,-16.1,16,3,0,11,59.4
253,22.275,-382.3,17,3,0.6,11,59.4
254,67.6125,-14.7,17,3,0,11,59.4
255,22.275,-383.9,18,3,0.6,11,59.4
256,67.6125,-13.1,18,3,0,11,59.4
257,22.275,-385.2,19,3,0.6,11,59.4
258,67.6125,-11.8,19,3,0,11,59.4
259,22.275,-385.9,20,3,0.6,11,59.4
260,67.6125,-11.1,20,3,0,11,59.4
261,22.275,-387,21,3,0.6,11,59.4
262,67.6125,-10,21,3,0,11,59.4
263,22.275,-387.9,22,3,0.6,11,59.4
264,67.6125,-9.1,22,3,0,11,59.4
265,22.275,-388.2,23,3,0.6,11,59.4
266,67.6125,-8.8,23,3,0,11,59.4
267,22.275,-388.4,24,3,0.6,11,59.4
268,67.6125,-8.6,24,3,0,11,59.4
269,67.6125,-797.8,1,4,0.6,11,94
270,67.6125,-797.8,2,4,0.6,11,94
271,67.6125,-797.8,3,4,0.6,11,94
272,67.6125,-797.8,4,4,0.6,11,94
273,67.6125,-797.8,5,4,0.6,11,94
274,67.6125,-797.8,6,4,0.6,11,94
275,35.25,-40,7,4,0.6,11,94
276,48.75,-757.8,7,4,0,11,94
277,35.25,-60,8,4,0.6,11,94
278,48.75,-737.8,8,4,0,11,94
279,35.25,-100,9,4,0.6,11,94
280,48.75,-697.8,9,4,0,11,94
281,35.25,-180,10,4,0.6,11,94
282,35.25,-34,10,4,0,11,94
283,35.25,-34,10,4,0,11,94
284,35.25,-34,10,4,0,11,94
285,35.25,-34,10,4,0,11,94
286,35.25,-34,10,4,0,11,94
287,45,-112,10,4,0,11,94
288,46.5,-112,10,4,0,11,94
289,50.625,-112,10,4,0,11,94
290,52.5,-111.8,10,4,0,11,94
291,35.25,-180,11,4,0.6,11,94
292,35.25,-34,11,4,0,11,94
293,35.25,-34,11,4,0,11,94
294,35.25,-34,11,4,0,11,94
295,35.25,-34,11,4,0,11,94
296,35.25,-34,11,4,0,11,94
297,45,-112,11,4,0,11,94
298,46.5,-112,11,4,0,11,94
299,50.625,-112,11,4,0,11,94
300,52.5,-111.8,11,4,0,11,94
301,35.25,-180,12,4,0.6,11,94
302,35.25,-34,12,4,0,11,94
303,35.25,-34,12,4,0,11,94
304,35.25,-34,12,4,0,11,94
305,35.25,-34,12,4,0,11,94
306,35.25,-34,12,4,0,11,94
307,45,-112,12,4,0,11,94
308,46.5,-112,12,4,0,11,94
309,50.625,-112,12,4,0,11,94
310,52.5,-111.8,12,4,0,11,94
311,35.25,-180,13,4,0.6,11,94
312,35.25,-34,13,4,0,11,94
313,35.25,-34,13,4,0,11,94
314,35.25,-34,13,4,0,11,94
315,35.25,-34,13,4,0,11,94
316,35.25,-34,13,4,0,11,94
317,45,-112,13,4,0,11,94
318,46.5,-112,13,4,0,11,94
319,50.625,-112,13,4,0,11,94
320,52.5,-111.8,13,4,0,11,94
321,35.25,-180,14,4,0.6,11,94
322,35.25,-34,14,4,0,11,94
323,35.25,-34,14,4,0,11,94
324,35.25,-34,14,4,0,11,94
325,35.25,-34,14,4,0,11,94
326,35.25,-34,14,4,0,11,94
327,45,-112,14,4,0,11,94
328,46.5,-112,14,4,0,11,94
329,50.625,-112,14,4,0,11,94
330,52.5,-111.8,14,4,0,11,94
331,35.25,-180,15,4,0.6,11,94
332,35.25,-34,15,4,0,11,94
333,35.25,-34,15,4,0,11,94
334,35.25,-34,15,4,0,11,94
335,35.25,-34,15,4,0,11,94
336,35.25,-34,15,4,0,11,94
337,45,-112,15,4,0,11,94
338,46.5,-112,15,4,0,11,94
339,50.625,-112,15,4,0,11,94
340,52.5,-111.8,15,4,0,11,94
341,35.25,-180,16,4,0.6,11,94
342,35.25,-34,16,4,0,11,94
343,35.25,-34,16,4,0,11,94
344,35.25,-34,16,4,0,11,94
345,35.25,-34,16,4,0,11,94
346,35.25,-34,16,4,0,11,94
347,45,-112,16,4,0,11,94
348,46.5,-112,16,4,0,11,94
349,50.625,-112,16,4,0,11,94
350,52.5,-111.8,16,4,0,11,94
351,35.25,-180,17,4,0.6,11,94
352,35.25,-34,17,4,0,11,94
353,35.25,-34,17,4,0,11,94
354,35.25,-34,17,4,0,11,94
355,35.25,-34,17,4,0,11,94
356,35.25,-34,17,4,0,11,94
357,45,-112,17,4,0,11,94
358,46.5,-112,17,4,0,11,94
359,50.625,-112,17,4,0,11,94
360,52.5,-111.8,17,4,0,11,94
361,35.25,-180,18,4,0.6,11,94
362,35.25,-34,18,4,0,11,94
363,35.25,-34,18,4,0,11,94
364,35.25,-34,18,4,0,11,94
365,35.25,-34,18,4,0,11,94
366,35.25,-34,18,4,0,11,94
367,45,-112,18,4,0,11,94
368,46.5,-112,18,4,0,11,94
369,50.625,-112,18,4,0,11,94
370,52.5,-111.8,18,4,0,11,94
371,35.25,-180,19,4,0.6,11,94
372,35.25,-34,19,4,0,11,94
373,35.25,-34,19,4,0,11,94
374,35.25,-34,19,4,0,11,94
375,35.25,-34,19,4,0,11,94
376,35.25,-34,19,4,0,11,94
377,45,-112,19,4,0,11,94
378,46.5,-112,19,4,0,11,94
379,50.625,-112,19,4,0,11,94
380,52.5,-111.8,19,4,0,11,94
381,35.25,-180,20,4,0.6,11,94
382,35.25,-34,20,4,0,11,94
383,35.25,-34,20,4,0,11,94
384,35.25,-34,20,4,0,11,94
385,35.25,-34,20,4,0,11,94
386,35.25,-34,20,4,0,11,94
387,45,-112,20,4,0,11,94
