"I","PI0","PI1","QI","LI","TI"
1,0,0,-30445.5,11,13
2,0.01,0.01,-93.9,11,13
3,0.1,0.1,-4.5,11,13
4,0.2,0.2,-9.4,11,13
5,0.51,0.51,-517.5,11,13
6,1,1,-40.1,11,13
7,2,2,-34.3,11,13
8,2.25,2.25,-19.6,11,13
9,2.9,2.9,-153.9,11,13
10,3,3,-443.6,11,13
11,4,4,-495.7,11,13
12,5,5,-237.5,11,13
13,6.38,6.38,-651.6,11,13
14,7,7,-33,11,13
15,8,8,-16,11,13
16,9,9,-13,11,13
17,9.2,9.2,-181.2,11,13
18,10,10,-408.7,11,13
19,10.01,10.01,-50,11,13
20,10.03,10.03,-17,11,13
21,11,11,-80,11,13
22,12,12,-181.2,11,13
23,13,13,-80,11,13
24,13.35,13.35,-50,11,13
25,14,14,-194.2,11,13
26,15,15,-158.6,11,13
27,15.03,15.03,-17,11,13
28,15.5,15.5,-50,11,13
29,16,16,-50,11,13
30,16.5,16.5,-50,11,13
31,16.7,16.7,-50,11,13
32,18,18,-50,11,13
33,18.5,18.5,-50,11,13
34,19,19,-50,11,13
35,19.5,19.5,-50,11,13
36,20,20,-27.1,11,13
37,20.04,20.04,-50,11,13
38,21,21,-50,11,13
39,21.5,21.5,-50,11,13
40,22,22,-50,11,13
41,22.5,22.5,-69.6,11,13
42,23.67,23.67,-65,11,13
43,24.8,24.8,-72.9,11,13
44,26,26,-4.8,11,13
45,26.1,26.1,-72.9,11,13
46,26.83,26.83,-65,11,13
47,28,28,-4.9,11,13
48,28.2,28.2,-6.8,11,13
49,30.02,30.02,-65,11,13
50,31.63,31.63,-90,11,13
51,32.89,32.89,-90,11,13
52,33.13,33.13,-135,11,13
53,34.13,34.13,-90,11,13
54,35.37,35.37,-90,11,13
55,36.72,36.72,-100,11,13
56,38.1,38.1,-100,11,13
57,39.04,39.04,-68.9,11,13
58,40.01,40.01,-68.9,11,13
59,42.5,42.5,-0.1,11,13
60,45,45,-243.2,11,13
61,47,47,-203.7,11,13
62,47.5,47.5,-0.1,11,13
63,50.5,50.5,-0.1,11,13
64,52,52,-203.7,11,13
65,65.5,65.5,-10,11,13
66,71.2,71.2,-49.4,11,13
67,72.8,72.8,-49.4,11,13
68,73.1,73.1,-49.4,11,13
69,73.5,73.5,-35,11,13
70,74.6,74.6,-85,11,13
71,75.7,75.7,-74.1,11,13
72,77.4,77.4,-3.3,11,13
73,79.5,79.5,-10,11,13
74,80.01,80.01,-4.8,11,13
75,80.05,80.05,-17,11,13
76,83.35,83.35,-4.8,11,13
77,83.39,83.39,-17,11,13
78,86.7,86.7,-4.8,11,13
79,86.74,86.74,-17,11,13
80,90.04,90.04,-4.6,11,13
81,90.08,90.08,-17,11,13
82,145.01,145.01,-30.3,11,13
83,160,160,-1064.9,11,13
84,180,180,-704.9,11,13
85,180.3,180.3,-162.4,11,13
86,0,0,-30122,11,14
87,0.01,0.01,-101.5,11,14
88,0.1,0.1,-4.5,11,14
89,0.2,0.2,-9.4,11,14
90,0.51,0.51,-506.7,11,14
91,1,1,-40.1,11,14
92,2,2,-26.2,11,14
93,2.25,2.25,-19.6,11,14
94,2.9,2.9,-132.5,11,14
95,3,3,-434.3,11,14
96,4,4,-489.5,11,14
97,5,5,-232.9,11,14
98,6.52,6.52,-673.9,11,14
99,7,7,-33,11,14
100,8,8,-16,11,14
101,9,9,-13,11,14
102,9.2,9.2,-181.2,11,14
103,10,10,-328.7,11,14
104,10.01,10.01,-50,11,14
105,10.03,10.03,-17,11,14
106,12,12,-181.2,11,14
107,13.35,13.35,-50,11,14
108,14,14,-194.2,11,14
109,15,15,-78.6,11,14
110,15.03,15.03,-17,11,14
111,15.5,15.5,-50,11,14
112,16,16,-50,11,14
113,16.5,16.5,-50,11,14
114,16.7,16.7,-50,11,14
115,18,18,-50,11,14
116,18.5,18.5,-50,11,14
117,19,19,-50,11,14
118,19.5,19.5,-50,11,14
119,20,20,-27.1,11,14
120,20.04,20.04,-50,11,14
121,21,21,-50,11,14
122,21.5,21.5,-50,11,14
123,22,22,-50,11,14
124,22.5,22.5,-69.6,11,14
125,23.67,23.67,-65,11,14
126,24.8,24.8,-72.9,11,14
127,26,26,-4.8,11,14
128,26.1,26.1,-72.9,11,14
129,26.83,26.83,-65,11,14
130,28,28,-4.9,11,14
131,28.2,28.2,-6.8,11,14
132,30,30,-80,11,14
133,30.02,30.02,-65,11,14
134,31.63,31.63,-90,11,14
135,32,32,-80,11,14
136,32.89,32.89,-90,11,14
137,33.13,33.13,-135,11,14
138,34.13,34.13,-90,11,14
139,35.37,35.37,-90,11,14
140,36.72,36.72,-100,11,14
141,37,37,-80,11,14
142,38.1,38.1,-100,11,14
143,39.04,39.04,-68.9,11,14
144,40.01,40.01,-68.9,11,14
145,42.5,42.5,-0.1,11,14
146,45,45,-243.2,11,14
147,47,47,-283.7,11,14
148,47.5,47.5,-0.1,11,14
149,50.5,50.5,-0.1,11,14
150,52,52,-203.7,11,14
151,65.5,65.5,-10,11,14
152,71.2,71.2,-49.4,11,14
153,72.8,72.8,-49.4,11,14
154,73.1,73.1,-49.4,11,14
155,73.5,73.5,-35,11,14
156,74.6,74.6,-85,11,14
157,75.7,75.7,-74.1,11,14
158,77.4,77.4,-10,11,14
159,79.5,79.5,-10,11,14
160,80.01,80.01,-4.8,11,14
161,80.05,80.05,-27,11,14
162,83.35,83.35,-4.8,11,14
