"MP","LC","FC","VC"
1,11,0,24.375
2,11,0,23.925
3,11,0,35.25
4,11,10000,49.82
5,11,0,97
6,11,0,180.3
7,11,0,105
8,11,1211444,106.92
9,11,0,48
10,11,79893,49.25
11,11,81753,46
12,11,81753,45.5
13,11,0,38.5
14,11,81753,44
15,11,45650,62.36
16,11,45650,62.36
17,11,45650,62.36
18,11,26394,99
19,11,56931,99
20,11,70800,74.08
21,11,70800,74.08
22,11,0,81.86
23,11,41958,82.38
24,11,45171,84.27
25,11,60161,81.62
26,11,40942,83.78
27,11,28040,100.16
28,11,0,61.35
29,11,102339,67.6
30,11,0,73.71
31,11,0,115
32,11,0,58.69
33,11,0,59.77
34,11,0,74.98
35,11,98407,52.21
36,11,64086,96.61
37,11,65826,64.25
38,11,106085,93.43
39,11,0,70.43
40,11,0,71.88
41,11,0,95
42,11,0,105
43,11,0,74.19
44,11,105083,55.64
45,11,147896,85.14
46,11,0,69.5
47,11,0,68.52
48,11,0,120
49,11,0,59.55
50,11,0,75.47
51,11,19052,60.57
52,11,38134,77.15
53,11,86000,53.87
54,11,6000,106.39
55,11,6000,110.23
56,11,6000,129.03
57,11,6000,135.87
58,11,6000,115.18
59,11,6000,104.13
60,11,6000,135.86
61,11,6000,131.57
62,11,6000,122.17
63,11,0,66.47
64,11,50770,173.04
65,11,53878,167.28
66,11,61156,166.09
67,11,54000,45.5
68,11,40000,43
69,11,50000,45.5
70,11,70000,83.02
71,11,17000,74
72,11,55000,130
73,11,17000,77
74,11,33000,89
75,12,80000,22
76,12,80000,18
77,12,140000,180
78,12,50000,46
79,12,50000,47
80,12,20000,29
81,12,20000,29.6
82,12,20000,29.4
83,12,20000,29.2
84,12,150000,78
85,12,150000,78.5
86,12,20000,75.1
87,12,20000,73.65
88,12,50000,75.5
89,12,56866,99
90,12,56866,99
