"I","PI0","PI1","QI","LI","TI"
1,180.3,180.3,12207,11,1
2,180,180,10.4,11,1
3,150,150,244.7,11,1
4,140,140,12.6,11,1
5,130,130,5.1,11,1
6,120,120,67,11,1
7,116.13,116.13,87.7,11,1
8,110,110,65.4,11,1
9,105,105,0.3,11,1
10,100.36,100.36,58.3,11,1
11,100,100,121.4,11,1
12,99,99,954.1,11,1
13,94.61,94.61,8.1,11,1
14,91,91,0.1,11,1
15,90,90,570.5,11,1
16,89.99,89.99,200,11,1
17,85,85,2.5,11,1
18,84.98,84.98,300,11,1
19,80,80,338.9,11,1
20,75,75,71.3,11,1
21,70,70,60.3,11,1
22,68.21,68.21,0.1,11,1
23,60,60,89.2,11,1
24,55,55,5.6,11,1
25,50,50,0.3,11,1
26,47.5,47.5,4.5,11,1
27,45.91,45.91,23.3,11,1
28,45,45,199,11,1
29,44.9,44.9,21,11,1
30,42.5,42.5,4.4,11,1
31,42.48,42.48,0.5,11,1
32,41.4,41.4,20,11,1
33,40,40,21.2,11,1
34,38.4,38.4,20,11,1
35,38.03,38.03,0.8,11,1
36,36.4,36.4,10,11,1
37,35.1,35.1,1.2,11,1
38,34.5,34.5,3.1,11,1
39,33,33,50,11,1
40,30,30,11,11,1
41,29,29,0.6,11,1
42,26,26,50,11,1
43,25.13,25.13,52,11,1
44,25,25,7.1,11,1
45,23,23,3.6,11,1
46,22.13,22.13,40,11,1
47,20.13,20.13,52,11,1
48,20,20,36.2,11,1
49,18.4,18.4,138,11,1
50,18,18,0.8,11,1
51,16.65,16.65,49.9,11,1
52,16.2,16.2,138,11,1
53,15.9,15.9,190,11,1
54,15.1,15.1,138,11,1
55,15,15,98.8,11,1
56,12.3,12.3,138,11,1
57,11.9,11.9,190,11,1
58,10.9,10.9,78,11,1
59,10.13,10.13,52,11,1
60,10,10,106.2,11,1
61,9.9,9.9,72,11,1
62,9,9,71.4,11,1
63,8.9,8.9,190,11,1
64,8.8,8.8,138,11,1
65,7,7,90,11,1
66,5,5,15,11,1
67,2,2,10,11,1
68,1,1,23.9,11,1
69,0.5,0.5,102,11,1
70,0.2,0.2,5.3,11,1
71,0.1,0.1,64.4,11,1
72,0,0,10124.6,11,1
73,180.3,180.3,11030.5,11,2
74,180,180,9.8,11,2
75,150,150,246.1,11,2
76,140,140,10.2,11,2
77,130,130,5.1,11,2
78,120,120,60.8,11,2
79,116.13,116.13,88.8,11,2
80,110,110,63.7,11,2
81,100.36,100.36,56.1,11,2
82,100,100,109.8,11,2
83,97,97,0.3,11,2
84,91,91,0.1,11,2
85,90,90,585.2,11,2
86,89.99,89.99,200,11,2
87,86.4,86.4,957.3,11,2
88,84.98,84.98,300,11,2
89,84.28,84.28,8,11,2
90,80,80,339.1,11,2
91,75,75,69.1,11,2
92,70,70,60.7,11,2
93,61.42,61.42,0.1,11,2
94,60,60,89.2,11,2
95,55,55,5.2,11,2
96,50,50,0.3,11,2
97,45.91,45.91,5.1,11,2
98,45.5,45.5,4.4,11,2
99,45,45,199.1,11,2
100,44.9,44.9,20.9,11,2
101,41.4,41.4,20,11,2
102,40.5,40.5,4.3,11,2
103,40,40,150.5,11,2
104,38.82,38.82,0.5,11,2
105,38.4,38.4,20,11,2
106,38,38,50,11,2
107,36.4,36.4,10,11,2
108,32.73,32.73,0.8,11,2
109,32.5,32.5,2.9,11,2
110,30,30,31.4,11,2
111,25.9,25.9,72,11,2
112,25.13,25.13,52,11,2
113,25,25,2.1,11,2
114,24,24,4.3,11,2
115,22,22,3,11,2
116,20.68,20.68,80,11,2
117,20.13,20.13,52,11,2
118,20,20,35,11,2
119,19,19,1,11,2
120,18.4,18.4,138,11,2
121,17,17,0.7,11,2
122,16.2,16.2,138,11,2
123,15.9,15.9,190,11,2
124,15.1,15.1,138,11,2
125,15,15,98.8,11,2
126,13.86,13.86,99.9,11,2
127,12.3,12.3,138,11,2
128,12,12,99,11,2
129,11.9,11.9,190,11,2
130,10.9,10.9,78,11,2
131,10.13,10.13,52,11,2
132,10,10,106.2,11,2
133,9.9,9.9,72,11,2
134,9,9,70.8,11,2
135,8.9,8.9,190,11,2
136,8.8,8.8,138,11,2
137,7,7,90,11,2
138,5,5,9.9,11,2
139,2,2,10,11,2
140,1,1,24.1,11,2
141,0.5,0.5,102.2,11,2
142,0.2,0.2,7,11,2
143,0.1,0.1,64.6,11,2
144,0,0,8626.1,11,2
145,180.3,180.3,13155.7,11,3
146,180,180,9.2,11,3
147,150,150,240.8,11,3
148,140,140,8.1,11,3
149,130,130,5.1,11,3
150,120,120,56.5,11,3
151,110,110,193.7,11,3
152,100.36,100.36,55.3,11,3
153,100,100,98.5,11,3
154,91,91,0.1,11,3
155,90,90,582.9,11,3
156,89.99,89.99,200,11,3
157,85,85,0.3,11,3
158,84.98,84.98,300,11,3
159,80,80,339.2,11,3
160,77.68,77.68,954.9,11,3
161,75,75,69.6,11,3
162,73.86,73.86,8,11,3
163,73.77,73.77,88.7,11,3
164,70,70,58,11,3
165,60,60,89.4,11,3
166,55,55,4.9,11,3
167,54.32,54.32,0.1,11,3
168,50,50,0.2,11,3
169,45.91,45.91,5.9,11,3
170,45.5,45.5,4.5,11,3
171,45,45,65.8,11,3
172,44.9,44.9,20.9,11,3
173,41.4,41.4,20,11,3
174,40.5,40.5,4.5,11,3
175,40,40,99.5,11,3
176,38.4,38.4,20,11,3
177,38,38,100,11,3
178,36.82,36.82,0.5,11,3
179,36.4,36.4,10,11,3
180,30,30,30.6,11,3
181,28.5,28.5,2.2,11,3
182,27.86,27.86,0.7,11,3
183,25.9,25.9,72,11,3
184,25.13,25.13,52,11,3
185,25,25,2.1,11,3
186,22,22,143.5,11,3
187,20.13,20.13,52,11,3
188,20.07,20.07,40,11,3
189,20,20,37.5,11,3
190,18.4,18.4,138,11,3
191,18,18,90.8,11,3
192,16.2,16.2,138,11,3
193,16,16,0.6,11,3
194,15.9,15.9,190,11,3
195,15.1,15.1,138,11,3
196,15,15,98.8,11,3
197,12.38,12.38,99.9,11,3
198,12.3,12.3,138,11,3
199,12,12,99,11,3
200,11.9,11.9,190,11,3
201,10.9,10.9,78,11,3
202,10.13,10.13,52,11,3
203,10,10,16,11,3
204,9.9,9.9,72,11,3
205,9,9,69.3,11,3
206,8.9,8.9,190,11,3
207,8.8,8.8,138,11,3
208,5,5,100,11,3
209,2,2,10,11,3
210,1,1,23.6,11,3
211,0.5,0.5,102.4,11,3
212,0.2,0.2,8.6,11,3
213,0.1,0.1,64.8,11,3
214,0.03,0.03,100,11,3
215,0.02,0.02,105,11,3
216,0.01,0.01,148,11,3
217,0,0,3858.3,11,3
218,180.3,180.3,12860.2,11,4
219,180,180,10,11,4
220,150,150,248.9,11,4
221,140,140,7.3,11,4
222,130,130,5.4,11,4
223,120,120,55.6,11,4
224,110,110,161.6,11,4
225,100.36,100.36,53.4,11,4
226,100,100,99.6,11,4
227,91,91,0.1,11,4
228,90,90,591,11,4
229,89.99,89.99,200,11,4
230,85,85,0.3,11,4
231,84.98,84.98,300,11,4
232,80,80,339.1,11,4
233,76.3,76.3,955.7,11,4
234,75,75,75,11,4
235,73.77,73.77,90.9,11,4
236,71.97,71.97,8.7,11,4
237,70,70,60.2,11,4
238,60,60,89.4,11,4
239,55,55,4.5,11,4
240,52.44,52.44,0.1,11,4
241,50,50,0.3,11,4
242,45.91,45.91,7.8,11,4
243,45.5,45.5,4.7,11,4
244,41.4,41.4,20,11,4
245,40.5,40.5,4.7,11,4
246,40,40,100.5,11,4
247,38.4,38.4,20,11,4
248,36.4,36.4,10,11,4
249,35.99,35.99,0.9,11,4
250,32,32,100,11,4
251,30,30,31.7,11,4
252,28.5,28.5,2.4,11,4
253,26.11,26.11,0.7,11,4
254,25.9,25.9,72,11,4
255,25.13,25.13,52,11,4
256,25,25,101.7,11,4
257,24.9,24.9,20.9,11,4
258,22,22,93.5,11,4
259,20.13,20.13,52,11,4
260,20,20,37.4,11,4
261,18.89,18.89,80,11,4
262,18.4,18.4,138,11,4
263,18,18,90.8,11,4
264,16.2,16.2,138,11,4
265,16,16,0.6,11,4
266,15.9,15.9,190,11,4
267,15.1,15.1,138,11,4
268,15,15,98.8,11,4
269,13.12,13.12,99.9,11,4
270,12.3,12.3,138,11,4
271,12,12,99,11,4
272,11.9,11.9,190,11,4
273,10.9,10.9,78,11,4
274,10.13,10.13,52,11,4
275,10,10,16.3,11,4
276,9.9,9.9,72,11,4
277,9,9,70,11,4
278,8.9,8.9,190,11,4
279,8.8,8.8,138,11,4
280,5,5,100,11,4
281,2,2,10,11,4
282,1,1,24.4,11,4
283,0.5,0.5,102.1,11,4
284,0.2,0.2,8.7,11,4
285,0.1,0.1,64.5,11,4
286,0.03,0.03,100,11,4
287,0.02,0.02,105,11,4
288,0.01,0.01,148,11,4
289,0,0,3710.3,11,4
290,180.3,180.3,12893.7,11,5
291,180,180,11.3,11,5
292,150,150,261.8,11,5
293,140,140,7.4,11,5
294,130,130,5.6,11,5
295,120,120,57.4,11,5
296,110,110,64.5,11,5
297,100.36,100.36,61.2,11,5
298,100,100,102.8,11,5
299,91,91,0.1,11,5
300,90,90,567.2,11,5
301,89.99,89.99,200,11,5
302,85,85,0.3,11,5
303,84.98,84.98,300,11,5
304,80,80,339.3,11,5
305,76,76,956.8,11,5
306,75,75,81.5,11,5
307,73.77,73.77,92.7,11,5
308,70.68,70.68,9.6,11,5
309,70,70,62.9,11,5
310,60,60,89.4,11,5
311,55,55,4.4,11,5
312,50.48,50.48,0.1,11,5
313,50,50,0.3,11,5
314,45.5,45.5,5.1,11,5
315,41.4,41.4,20,11,5
316,40,40,100.4,11,5
317,38.5,38.5,5,11,5
318,38.4,38.4,20,11,5
319,36.4,36.4,10,11,5
320,35.95,35.95,0.9,11,5
321,30,30,83.9,11,5
322,28.5,28.5,2.5,11,5
323,26,26,50,11,5
324,25.9,25.9,72,11,5
325,25.13,25.13,52,11,5
326,25,25,201,11,5
327,24.9,24.9,21,11,5
328,24.89,24.89,0.8,11,5
329,22,22,139,11,5
330,20.29,20.29,40,11,5
331,20.13,20.13,52,11,5
332,20,20,38.4,11,5
333,18.4,18.4,138,11,5
