"MP","LC","FC","VC"
963,11,0,65.1
964,11,0,62.3
965,11,0,99.5
966,11,25900,50.5
967,11,0,99.7
968,11,1211444,106.92
969,11,0,47
970,11,79754,49.25
971,11,83387,44
972,11,83387,45
973,11,83387,42
974,11,0,41.5
975,11,45001,62.36
976,11,45001,62.36
977,11,45001,62.36
978,11,26715,99
979,11,57530,99
980,11,71573,74.08
981,11,71573,74.08
982,11,0,81.86
983,11,43183,82.38
984,11,45171,84.27
985,11,60161,81.62
986,11,40942,83.78
987,11,28040,100.16
988,11,19052,62.95
989,11,38134,77.15
990,11,86000,54.33
991,11,6000,99
992,11,6000,130.12
993,11,6000,131.41
994,11,6000,139.25
995,11,6000,116.8
996,11,6000,96.66
997,11,6000,138.75
998,11,6000,136.78
999,11,6000,122.23
1000,11,44000,45.5
1001,11,70000,43
1002,11,50000,45.5
1003,11,70000,83.02
1004,11,17000,74
1005,11,17000,77
1006,11,33000,89
1007,11,0,66.44
1008,11,50770,99.24
1009,11,53878,95.98
1010,11,61156,94.3
1011,11,0,66.43
1012,11,0,46.61
1013,11,0,77.46
1014,11,0,60.53
1015,11,0,95
1016,11,0,61.18
1017,11,0,80.97
1018,11,98178,52.21
1019,11,65754,96.61
1020,11,66314,64.25
1021,11,108597,93.43
1022,11,0,75.53
1023,11,0,76.07
1024,11,0,77.55
1025,11,0,90
1026,11,106454,55.64
1027,11,151458,85.14
1028,11,0,75.96
1029,11,0,71.53
1030,11,0,93.09
1031,11,0,62.58
1032,11,0,82.25
1033,11,0,115
1034,11,0,98.7
1035,11,6000,102.39
1036,12,80000,23
1037,12,80000,18
1038,12,140000,180
1039,12,50000,38
1040,12,50000,32
1041,12,20000,29.2
1042,12,20000,29.3
1043,12,20000,29.4
1044,12,20000,29.5
1045,12,150000,76
1046,12,150000,76.5
1047,12,20000,73.1
1048,12,20000,71.65
1049,12,50000,73.5
1050,12,56866,99
1051,12,56866,99
