"I","PI0","PI1","QI","LI","TI"
1,0,0,-3917.3,12,19
2,1,1,-668,12,19
3,4.69,4.69,-50,12,19
4,18.25,18.25,-10,12,19
5,19.12,19.12,-8,12,19
6,28.69,28.69,-115,12,19
7,30.69,30.69,-115,12,19
8,32.69,32.69,-115,12,19
9,33.25,33.25,-10,12,19
10,33.69,33.69,-10,12,19
11,34.69,34.69,-54,12,19
12,34.78,34.78,-10,12,19
13,35.69,35.69,-80,12,19
14,36.34,36.34,-160,12,19
15,36.69,36.69,-130,12,19
16,36.89,36.89,-120,12,19
17,38.56,38.56,-120,12,19
18,38.69,38.69,-90,12,19
19,39.68,39.68,-80,12,19
20,40.56,40.56,-100,12,19
21,42.91,42.91,-110,12,19
22,44.68,44.68,-90,12,19
23,49.2,49.2,-60,12,19
24,69.57,69.57,-60,12,19
25,70.69,70.69,-30,12,19
26,75.69,75.69,-30,12,19
27,78.69,78.69,-30,12,19
28,80.69,80.69,-30,12,19
29,81.69,81.69,-30,12,19
30,130.07,130.07,-337,12,19
31,130.97,130.97,-12,12,19
32,131.47,131.47,-12,12,19
33,131.69,131.69,-20,12,19
34,180.21,180.21,-43.8,12,19
35,180.3,180.3,-77,12,19
36,0,0,-3963.9,12,20
37,1,1,-668,12,20
38,4.69,4.69,-50,12,20
39,18.25,18.25,-10,12,20
40,19.12,19.12,-8,12,20
41,28.69,28.69,-115,12,20
42,30.69,30.69,-115,12,20
43,32.69,32.69,-115,12,20
44,33.25,33.25,-10,12,20
45,33.69,33.69,-10,12,20
46,34.69,34.69,-54,12,20
47,34.78,34.78,-10,12,20
48,35.69,35.69,-80,12,20
49,36.34,36.34,-160,12,20
50,36.69,36.69,-130,12,20
51,36.89,36.89,-120,12,20
52,38.56,38.56,-120,12,20
53,38.69,38.69,-90,12,20
54,39.68,39.68,-80,12,20
55,40.56,40.56,-100,12,20
56,42.91,42.91,-110,12,20
57,44.68,44.68,-90,12,20
58,49.2,49.2,-60,12,20
59,50.1,50.1,-50,12,20
60,55.1,55.1,-50,12,20
61,60.1,60.1,-50,12,20
62,69.57,69.57,-60,12,20
63,70.69,70.69,-30,12,20
64,75.69,75.69,-30,12,20
65,78.69,78.69,-30,12,20
66,80.69,80.69,-30,12,20
67,81.69,81.69,-30,12,20
68,130.07,130.07,-187,12,20
69,130.97,130.97,-12,12,20
70,131.47,131.47,-12,12,20
71,131.69,131.69,-20,12,20
72,180.21,180.21,-43.8,12,20
73,180.3,180.3,-77,12,20
74,0,0,-4010.6,12,21
75,1,1,-668,12,21
76,4.69,4.69,-50,12,21
77,18.25,18.25,-10,12,21
78,19.12,19.12,-8,12,21
79,28.69,28.69,-115,12,21
80,30.69,30.69,-115,12,21
81,32.69,32.69,-115,12,21
82,33.25,33.25,-10,12,21
83,33.69,33.69,-10,12,21
84,34.69,34.69,-54,12,21
85,34.78,34.78,-10,12,21
86,35.69,35.69,-80,12,21
87,36.34,36.34,-160,12,21
88,36.69,36.69,-130,12,21
89,36.89,36.89,-120,12,21
90,38.56,38.56,-120,12,21
91,38.69,38.69,-90,12,21
92,39.68,39.68,-80,12,21
93,40.56,40.56,-100,12,21
94,42.91,42.91,-110,12,21
95,44.68,44.68,-90,12,21
96,49.2,49.2,-60,12,21
97,50.1,50.1,-50,12,21
98,55.1,55.1,-50,12,21
99,60.1,60.1,-50,12,21
100,69.57,69.57,-60,12,21
101,70.69,70.69,-30,12,21
102,75.69,75.69,-30,12,21
103,78.69,78.69,-30,12,21
