"MP","LC","FC","VC"
414,11,0,23.2125
415,11,0,37.3125
416,11,0,36.675
417,11,0,39.375
418,11,0,67.6125
419,11,0,97
420,11,19052,62.47
421,11,38134,77.15
422,11,86000,52.77
423,11,6000,98.41
424,11,6000,132.72
425,11,6000,133
426,11,6000,103.36
427,11,6000,134.86
428,11,6000,120.43
429,11,6000,97.24
430,11,6000,135.86
431,11,6000,133.84
432,11,6000,122.95
433,11,1211444,106.92
434,11,0,45.17
435,11,76365,45.48
436,11,0,44.25
437,11,0,46.27
438,11,0,41.45
439,11,0,41.3
440,11,44657,62.36
441,11,44657,62.36
442,11,25976,99
443,11,56169,99
444,11,69696,74.08
445,11,0,81.86
446,11,0,82.38
447,11,45208,84.27
448,11,60588,81.62
449,11,39868,83.78
450,11,27709,100.16
451,11,0,66.85
452,11,107005,67.6
453,11,0,79.39
454,11,0,58.26
455,11,0,95
456,11,0,59.33
457,11,0,72.04
458,11,81561,50.87
459,11,68614,91.13
460,11,67954,59.36
461,11,111995,93.43
462,11,0,82.07
463,11,0,95
464,11,0,80.53
465,11,0,77.75
466,11,109501,50.96
467,11,0,60.13
468,11,0,95
469,11,0,61.38
470,11,0,82.25
471,11,0,65.42
472,11,46153,90.78
473,11,48978,88.06
474,11,55594,86.98
475,11,54000,45
476,11,40000,42.5
477,11,50000,45.5
478,11,17000,74
479,11,17000,77
480,11,55000,130
481,11,33000,89
482,12,80000,12
483,12,80000,20
484,12,140000,180
485,12,50000,38
486,12,50000,32
487,12,213454,171.31
488,12,241915,171.31
489,12,0,29.31
490,12,0,29.32
491,12,150000,76
492,12,150000,76.5
493,12,20000,73.5
494,12,20000,71.75
