"MP","LC","FC","VC"
1577,11,0,37.3875
1578,11,0,43.125
1579,11,0,67.6125
1580,11,0,98.7
1581,11,0,65.1
1582,11,0,62.3
1583,11,0,99.5
1584,11,25300,50.5
1585,11,0,66.71
1586,11,50770,99.9
1587,11,53878,97.74
1588,11,61156,96.5
1589,11,0,64.64
1590,11,0,46.61
1591,11,0,77.46
1592,11,0,57.87
1593,11,0,57.87
1594,11,0,80.97
1595,11,97904,52.21
1596,11,64674,94.73
1597,11,65348,62.39
1598,11,107128,93.43
1599,11,0,76.07
1600,11,0,95
1601,11,0,75.53
1602,11,0,77.55
1603,11,0,90
1604,11,104835,53.92
1605,11,149337,85.14
1606,11,0,93.09
1607,11,0,67.55
1608,11,0,67.08
1609,11,0,82.25
1610,11,19052,62.95
1611,11,86000,54.33
1612,11,6000,99
1613,11,6000,131.12
1614,11,6000,132.41
1615,11,6000,102.39
1616,11,6000,139.25
1617,11,6000,118.8
1618,11,6000,96.66
1619,11,6000,138.75
1620,11,6000,130.78
1621,11,6000,121.23
1622,11,54000,44.5
1623,11,70000,42
1624,11,50000,45.5
1625,11,70000,83.02
1626,11,17000,74
1627,11,55000,130
1628,11,17000,77
1629,11,33000,89
1630,11,1211444,106.92
1631,11,0,45
1632,11,77540,45
1633,11,81550,45
1634,11,45000,44
1635,11,35000,43
1636,11,0,40
1637,11,0,41.26
1638,11,44257,62.36
1639,11,44257,62.36
1640,11,26016,99
1641,11,56166,99
1642,11,69784,74.08
1643,11,0,81.86
1644,11,42256,82.38
1645,11,45208,84.27
1646,11,60588,81.62
1647,11,39868,83.78
1648,11,27709,100.16
1649,11,0,58.06
1650,12,80000,20
1651,12,80000,12
1652,12,140000,180
1653,12,50000,38
1654,12,50000,32
1655,12,20000,29.3
1656,12,20000,29.4
1657,12,150000,76
1658,12,150000,76.5
1659,12,20000,73.5
1660,12,20000,71.75
1661,12,50000,73.5
1662,12,57270,99
1663,12,57270,99
