"I","PI0","PI1","QI","LI","TI"
1,0,0,-10795.2,11,9
2,0.1,0.1,-1,11,9
3,0.6,0.6,-11.2,11,9
4,1,1,-4.7,11,9
5,3.02,3.02,-17,11,9
6,5,5,-300,11,9
7,10.4,10.4,-87.3,11,9
8,13,13,-1.1,11,9
9,14.01,14.01,-72,11,9
10,15,15,-0.1,11,9
11,15.5,15.5,-27,11,9
12,16,16,-27.5,11,9
13,18.01,18.01,-114,11,9
14,20,20,-81,11,9
15,20.03,20.03,-49,11,9
16,21,21,-7.9,11,9
17,23.34,23.34,-81,11,9
18,24,24,-4.8,11,9
19,26,26,-4.9,11,9
20,26.69,26.69,-81,11,9
21,26.8,26.8,-6.8,11,9
22,26.9,26.9,-182.2,11,9
23,28,28,-182.2,11,9
24,28.02,28.02,-28,11,9
25,29.01,29.01,-80,11,9
26,29.2,29.2,-182.2,11,9
27,30,30,-80,11,9
28,30.01,30.01,-20,11,9
29,30.03,30.03,-81.1,11,9
30,32,32,-80,11,9
31,32.03,32.03,-34,11,9
32,32.1,32.1,-16,11,9
33,32.75,32.75,-65,11,9
34,34.6,34.6,-290.7,11,9
35,35,35,-41.9,11,9
36,35.01,35.01,-65,11,9
37,35.03,35.03,-30,11,9
38,35.7,35.7,-182.2,11,9
39,36.01,36.01,-139,11,9
40,36.7,36.7,-90,11,9
41,37,37,-80,11,9
42,37.03,37.03,-4,11,9
43,37.1,37.1,-25,11,9
44,37.92,37.92,-90,11,9
45,38,38,-19.2,11,9
46,38.01,38.01,-40,11,9
47,38.4,38.4,-290.7,11,9
48,39,39,-207.4,11,9
49,39.01,39.01,-25,11,9
50,39.13,39.13,-90,11,9
51,40,40,-58.9,11,9
52,40.04,40.04,-68.9,11,9
53,40.98,40.98,-68.9,11,9
54,42.02,42.02,-30,11,9
55,42.2,42.2,-50,11,9
56,42.31,42.31,-100,11,9
57,42.4,42.4,-50,11,9
58,42.5,42.5,-0.1,11,9
59,42.6,42.6,-50,11,9
60,43,43,-152.5,11,9
61,43.03,43.03,-7,11,9
62,43.5,43.5,-82.2,11,9
63,43.56,43.56,-72,11,9
64,43.66,43.66,-100,11,9
65,44,44,-50,11,9
66,44.17,44.17,-340,11,9
67,44.5,44.5,-50,11,9
68,45,45,-83.1,11,9
69,45.01,45.01,-41,11,9
70,45.02,45.02,-100,11,9
71,45.5,45.5,-50,11,9
72,45.9,45.9,-72.5,11,9
73,47.5,47.5,-0.1,11,9
74,50,50,-161.3,11,9
75,50.02,50.02,-20,11,9
76,50.2,50.2,-50,11,9
77,50.4,50.4,-50,11,9
78,50.5,50.5,-0.1,11,9
79,50.6,50.6,-50,11,9
80,50.9,50.9,-290.7,11,9
81,52,52,-31,11,9
82,55,55,-3.1,11,9
83,60.03,60.03,-1,11,9
84,65.13,65.13,-45,11,9
85,65.5,65.5,-10,11,9
86,70,70,-30,11,9
87,70.04,70.04,-40.5,11,9
88,70.13,70.13,-45,11,9
89,73.34,73.34,-30,11,9
90,73.38,73.38,-40.5,11,9
91,73.5,73.5,-35,11,9
92,75.13,75.13,-45,11,9
93,76.69,76.69,-30,11,9
94,76.73,76.73,-40.5,11,9
95,79.5,79.5,-10,11,9
96,80.03,80.03,-30,11,9
97,80.07,80.07,-40.5,11,9
98,80.1,80.1,-13,11,9
99,82.6,82.6,-86.7,11,9
100,145,145,-20,11,9
101,145.01,145.01,-10.3,11,9
102,160,160,-1300,11,9
103,180,180,-886.9,11,9
104,180.3,180.3,-70.1,11,9
105,0,0,-13357.9,11,10
106,0.1,0.1,-1,11,10
107,0.6,0.6,-11.2,11,10
108,1,1,-4.7,11,10
109,3.02,3.02,-17,11,10
110,5,5,-300,11,10
111,10.4,10.4,-87.3,11,10
112,13,13,-1.1,11,10
113,14.01,14.01,-72,11,10
114,15,15,-0.1,11,10
115,15.5,15.5,-27,11,10
116,16,16,-27.5,11,10
117,18.01,18.01,-114,11,10
118,20,20,-81.2,11,10
119,20.03,20.03,-49,11,10
120,21,21,-7.9,11,10
121,23.34,23.34,-81.2,11,10
122,24,24,-4.8,11,10
123,26,26,-4.9,11,10
124,26.69,26.69,-81.2,11,10
125,26.8,26.8,-6.8,11,10
126,28.02,28.02,-28,11,10
127,29.01,29.01,-80,11,10
128,30,30,-105,11,10
129,30.01,30.01,-20,11,10
130,30.03,30.03,-81.1,11,10
131,32,32,-80,11,10
132,32.03,32.03,-34,11,10
133,32.75,32.75,-65,11,10
134,33.3,33.3,-5,11,10
135,35,35,-16.9,11,10
136,35.01,35.01,-65,11,10
137,35.03,35.03,-30,11,10
138,35.7,35.7,-182.2,11,10
139,36.01,36.01,-139,11,10
140,36.7,36.7,-90,11,10
141,37,37,-80,11,10
142,37.03,37.03,-4,11,10
143,37.92,37.92,-90,11,10
144,38,38,-19.2,11,10
145,38.01,38.01,-40,11,10
146,38.3,38.3,-25,11,10
147,39,39,-207.4,11,10
148,39.01,39.01,-25,11,10
149,39.13,39.13,-90,11,10
150,40,40,-59,11,10
151,40.04,40.04,-68.9,11,10
152,40.98,40.98,-68.9,11,10
153,42.02,42.02,-30,11,10
154,42.2,42.2,-50,11,10
155,42.31,42.31,-100,11,10
156,42.4,42.4,-50,11,10
157,42.5,42.5,-0.1,11,10
158,42.6,42.6,-50,11,10
159,43,43,-152.5,11,10
160,43.03,43.03,-7,11,10
161,43.5,43.5,-82.2,11,10
162,43.56,43.56,-72,11,10
163,43.66,43.66,-100,11,10
164,44,44,-50,11,10
165,44.17,44.17,-340,11,10
166,44.5,44.5,-50,11,10
167,45,45,-83.1,11,10
168,45.01,45.01,-41,11,10
169,45.02,45.02,-100,11,10
170,45.5,45.5,-50,11,10
171,45.9,45.9,-72.5,11,10
172,47.5,47.5,-0.1,11,10
173,50,50,-161.3,11,10
174,50.02,50.02,-20,11,10
175,50.2,50.2,-50,11,10
176,50.4,50.4,-50,11,10
177,50.5,50.5,-0.1,11,10
178,50.6,50.6,-50,11,10
179,50.9,50.9,-290.7,11,10
180,52,52,-31,11,10
181,55,55,-3.1,11,10
182,60.03,60.03,-1,11,10
183,65.13,65.13,-45,11,10
184,65.5,65.5,-10,11,10
185,70,70,-30,11,10
186,70.04,70.04,-40.5,11,10
187,70.13,70.13,-45,11,10
188,73.34,73.34,-30,11,10
189,73.38,73.38,-40.5,11,10
190,73.5,73.5,-35,11,10
191,75.13,75.13,-45,11,10
192,76.69,76.69,-30,11,10
193,76.73,76.73,-40.5,11,10
194,79.5,79.5,-10,11,10
195,80.03,80.03,-30,11,10
196,80.07,80.07,-40.5,11,10
197,80.1,80.1,-13,11,10
198,82.6,82.6,-86.7,11,10
199,145,145,-20,11,10
200,145.01,145.01,-10.3,11,10
201,160,160,-1500.5,11,10
202,180,180,-886.9,11,10
203,180.3,180.3,-70.1,11,10
204,0,0,-15057.2,11,11
205,0.1,0.1,-1,11,11
206,0.6,0.6,-11.2,11,11
207,1,1,-4.7,11,11
208,3.02,3.02,-17,11,11
209,5,5,-300,11,11
210,10.4,10.4,-87.3,11,11
211,13,13,-1.1,11,11
212,14.01,14.01,-72,11,11
213,15,15,-0.1,11,11
214,15.5,15.5,-27,11,11
215,16,16,-27.5,11,11
216,18.01,18.01,-114,11,11
217,20,20,-82.1,11,11
218,20.03,20.03,-49,11,11
219,21,21,-7.9,11,11
220,23.34,23.34,-82.1,11,11
221,24,24,-4.8,11,11
222,26,26,-4.9,11,11
223,26.69,26.69,-82.1,11,11
224,26.8,26.8,-6.8,11,11
225,28.02,28.02,-28,11,11
226,29.01,29.01,-80,11,11
227,30,30,-105,11,11
228,30.01,30.01,-20,11,11
229,30.03,30.03,-82.1,11,11
230,30.69,30.69,-5,11,11
231,32,32,-80,11,11
232,32.03,32.03,-34,11,11
233,32.75,32.75,-65,11,11
234,35,35,-20.2,11,11
235,35.01,35.01,-65,11,11
236,35.03,35.03,-30,11,11
237,35.69,35.69,-25,11,11
238,35.7,35.7,-182.2,11,11
239,36.01,36.01,-139,11,11
240,36.7,36.7,-90,11,11
241,37,37,-80,11,11
242,37.92,37.92,-90,11,11
243,38,38,-19.2,11,11
244,38.01,38.01,-40,11,11
245,39,39,-207.4,11,11
246,39.01,39.01,-25,11,11
247,39.13,39.13,-90,11,11
248,40,40,-62.3,11,11
249,40.03,40.03,-4,11,11
250,40.04,40.04,-68.9,11,11
251,40.98,40.98,-68.9,11,11
252,42.02,42.02,-30,11,11
253,42.2,42.2,-50,11,11
254,42.31,42.31,-100,11,11
255,42.4,42.4,-50,11,11
256,42.5,42.5,-0.1,11,11
257,42.6,42.6,-50,11,11
258,43,43,-152.5,11,11
259,43.03,43.03,-7,11,11
260,43.5,43.5,-82.2,11,11
261,43.56,43.56,-72,11,11
262,43.66,43.66,-100,11,11
263,44,44,-50,11,11
264,44.17,44.17,-340,11,11
265,44.5,44.5,-50,11,11
266,45,45,-82.9,11,11
267,45.01,45.01,-41,11,11
268,45.02,45.02,-100,11,11
269,45.5,45.5,-50,11,11
270,45.9,45.9,-72.5,11,11
271,47.5,47.5,-0.1,11,11
272,50,50,-158,11,11
273,50.02,50.02,-20,11,11
274,50.2,50.2,-50,11,11
275,50.4,50.4,-50,11,11
276,50.5,50.5,-0.1,11,11
277,50.6,50.6,-50,11,11
278,50.9,50.9,-290.7,11,11
279,52,52,-31,11,11
280,60.03,60.03,-1,11,11
281,65.13,65.13,-45,11,11
282,65.5,65.5,-10,11,11
283,70,70,-37.5,11,11
284,70.04,70.04,-55.5,11,11
285,70.13,70.13,-45,11,11
286,73.34,73.34,-37.5,11,11
287,73.38,73.38,-55.5,11,11
288,73.5,73.5,-35,11,11
289,75.13,75.13,-45,11,11
290,76.69,76.69,-37.5,11,11
291,76.73,76.73,-55.5,11,11
292,79.5,79.5,-10,11,11
293,80.03,80.03,-37.5,11,11
294,80.07,80.07,-55.5,11,11
295,80.1,80.1,-13,11,11
296,82.6,82.6,-86.7,11,11
297,145,145,-20,11,11
298,145.01,145.01,-10.3,11,11
299,160,160,-1467.5,11,11
300,180,180,-886.9,11,11
301,180.3,180.3,-70.1,11,11
302,0,0,-15711.1,11,12
303,0.1,0.1,-1,11,12
304,0.6,0.6,-11.2,11,12
305,1,1,-4.7,11,12
306,3.02,3.02,-17,11,12
307,5,5,-300,11,12
308,10.4,10.4,-87.3,11,12
309,13,13,-1.1,11,12
310,14.01,14.01,-72,11,12
311,15,15,-0.1,11,12
312,15.5,15.5,-27,11,12
313,16,16,-27.5,11,12
314,18.01,18.01,-114,11,12
315,20,20,-80.8,11,12
316,20.03,20.03,-23,11,12
317,21,21,-7.9,11,12
318,23.34,23.34,-80.8,11,12
319,24,24,-4.8,11,12
320,25.69,25.69,-5,11,12
321,26,26,-4.9,11,12
322,26.69,26.69,-80.8,11,12
323,26.8,26.8,-6.8,11,12
324,28,28,-25,11,12
325,28.02,28.02,-28,11,12
326,29.01,29.01,-80,11,12
327,30,30,-80,11,12
328,30.01,30.01,-20,11,12
329,30.03,30.03,-80.8,11,12
330,30.69,30.69,-25,11,12
331,32,32,-80,11,12
332,32.03,32.03,-34,11,12
333,32.75,32.75,-65,11,12
334,35,35,-20.2,11,12
335,35.01,35.01,-65,11,12
336,35.03,35.03,-30,11,12
337,35.7,35.7,-182.2,11,12
338,36.01,36.01,-139,11,12
339,36.7,36.7,-90,11,12
340,37,37,-80,11,12
341,37.92,37.92,-90,11,12
342,38,38,-29.2,11,12
343,38.01,38.01,-40,11,12
344,39,39,-207.4,11,12
345,39.01,39.01,-25,11,12
346,39.03,39.03,-19,11,12
347,39.13,39.13,-90,11,12
348,40,40,-62.4,11,12
349,40.03,40.03,-4,11,12
350,40.04,40.04,-68.9,11,12
351,40.98,40.98,-68.9,11,12
352,42.02,42.02,-30,11,12
353,42.2,42.2,-50,11,12
354,42.31,42.31,-100,11,12
355,42.4,42.4,-50,11,12
356,42.5,42.5,-0.1,11,12
357,42.6,42.6,-50,11,12
