"MP","LC","FC","VC"
180,11,0,24.4875
181,11,0,21.5625
182,11,0,37.3125
183,11,56800,49
184,11,0,97
185,11,0,180.3
186,11,0,105
187,11,44000,45.5
188,11,40000,43
189,11,50000,45.5
190,11,70000,83.02
191,11,17000,74
192,11,55000,130
193,11,17000,77
194,11,33000,89
195,11,0,94
196,11,1211444,106.92
197,11,0,48
198,11,45567,49.25
199,11,81753,46
200,11,0,38
201,11,82769,42
202,11,82769,41
203,11,45650,62.36
204,11,45650,62.36
205,11,45650,62.36
206,11,56394,99
207,11,56931,99
208,11,70800,74.08
209,11,70800,74.08
210,11,0,81.86
211,11,0,82.38
212,11,45171,84.27
213,11,60161,81.62
214,11,40942,83.78
215,11,28040,100.16
216,11,0,66.11
217,11,50770,171.18
218,11,53878,168.42
219,11,61156,167.24
220,11,19052,62.04
221,11,38134,77.15
222,11,86000,54.03
223,11,6000,106.01
224,11,6000,107.34
225,11,6000,129.44
226,11,6000,137.31
227,11,6000,116.87
228,11,6000,104.72
229,11,6000,136.81
230,11,6000,132.81
231,11,6000,123.19
232,11,0,62.69
233,11,102310,67.6
234,11,0,77.46
235,11,0,95
236,11,0,60.53
237,11,0,61.18
238,11,0,80.97
239,11,98135,52.21
240,11,64272,96.61
241,11,65888,64.25
242,11,106397,93.43
243,11,0,75.53
244,11,0,76.07
245,11,0,95
246,11,0,105
247,11,0,77.75
248,11,105260,55.64
249,11,147236,85.14
250,11,0,93.09
251,11,0,75.96
252,11,0,71.53
253,11,0,60.84
254,11,0,82.25
255,12,80000,23
256,12,80000,18
257,12,140000,180
258,12,50000,45
259,12,50000,32
260,12,20000,29
261,12,20000,29.4
262,12,150000,78
263,12,150000,78.5
264,12,20000,75.1
265,12,20000,73.65
266,12,50000,75.5
267,12,56866,99
268,12,56866,99
