"H","PH","QH","TH","MP","AR","LH","VH"
1,67.6125,-402.2,1,180,0.6,11,65.3
2,67.6125,-402.2,2,180,0.6,11,65.3
3,67.6125,-402.2,3,180,0.6,11,65.3
4,67.6125,-402.2,4,180,0.6,11,65.3
5,67.6125,-402.2,5,180,0.6,11,65.3
6,67.6125,-402.2,6,180,0.6,11,65.3
7,67.6125,-402.2,7,180,0.6,11,65.3
8,67.6125,-402.2,8,180,0.6,11,65.3
9,67.6125,-402.2,9,180,0.6,11,65.3
10,67.6125,-402.2,10,180,0.6,11,65.3
11,67.6125,-402.2,11,180,0.6,11,65.3
12,67.6125,-402.2,12,180,0.6,11,65.3
13,24.4875,-80,13,180,0.6,11,65.3
14,67.6125,-322.2,13,180,0,11,65.3
15,24.4875,-120,14,180,0.6,11,65.3
16,67.6125,-282.2,14,180,0,11,65.3
17,24.4875,-120,15,180,0.6,11,65.3
18,67.6125,-282.2,15,180,0,11,65.3
19,24.4875,-120,16,180,0.6,11,65.3
20,67.6125,-282.2,16,180,0,11,65.3
21,24.4875,-120,17,180,0.6,11,65.3
22,67.6125,-282.2,17,180,0,11,65.3
23,24.4875,-135,18,180,0.6,11,65.3
24,67.6125,-267.2,18,180,0,11,65.3
25,24.4875,-275,19,180,0.6,11,65.3
26,67.6125,-127.2,19,180,0,11,65.3
27,24.4875,-391.5,20,180,0.6,11,65.3
28,67.6125,-10.7,20,180,0,11,65.3
29,24.4875,-392.9,21,180,0.6,11,65.3
30,67.6125,-9.3,21,180,0,11,65.3
31,24.4875,-394.2,22,180,0.6,11,65.3
32,67.6125,-8,22,180,0,11,65.3
33,24.4875,-394.8,23,180,0.6,11,65.3
34,67.6125,-7.4,23,180,0,11,65.3
35,24.4875,-395.3,24,180,0.6,11,65.3
36,67.6125,-6.9,24,180,0,11,65.3
37,67.6125,-397,1,181,0.6,11,57.5
38,67.6125,-397,2,181,0.6,11,57.5
39,67.6125,-397,3,181,0.6,11,57.5
40,67.6125,-397,4,181,0.6,11,57.5
41,67.6125,-397,5,181,0.6,11,57.5
42,67.6125,-397,6,181,0.6,11,57.5
43,67.6125,-397,7,181,0.6,11,57.5
44,67.6125,-397,8,181,0.6,11,57.5
45,67.6125,-397,9,181,0.6,11,57.5
46,67.6125,-397,10,181,0.6,11,57.5
47,67.6125,-397,11,181,0.6,11,57.5
48,67.6125,-397,12,181,0.6,11,57.5
49,67.6125,-397,13,181,0.6,11,57.5
50,21.5625,-90,14,181,0.6,11,57.5
51,67.6125,-307,14,181,0,11,57.5
52,21.5625,-125,15,181,0.6,11,57.5
53,67.6125,-272,15,181,0,11,57.5
54,21.5625,-185,16,181,0.6,11,57.5
55,67.6125,-212,16,181,0,11,57.5
56,21.5625,-340,17,181,0.6,11,57.5
57,67.6125,-57,17,181,0,11,57.5
58,21.5625,-387.3,18,181,0.6,11,57.5
59,67.6125,-9.7,18,181,0,11,57.5
60,21.5625,-389,19,181,0.6,11,57.5
61,67.6125,-8,19,181,0,11,57.5
62,21.5625,-390.5,20,181,0.6,11,57.5
63,67.6125,-6.5,20,181,0,11,57.5
64,21.5625,-391.8,21,181,0.6,11,57.5
65,67.6125,-5.2,21,181,0,11,57.5
66,21.5625,-393.1,22,181,0.6,11,57.5
67,67.6125,-3.9,22,181,0,11,57.5
68,21.5625,-393.7,23,181,0.6,11,57.5
69,67.6125,-3.3,23,181,0,11,57.5
70,21.5625,-394.3,24,181,0.6,11,57.5
71,67.6125,-2.7,24,181,0,11,57.5
72,48.75,-763.7,1,182,0.6,11,99.5
73,48.75,-763.6,2,182,0.6,11,99.5
74,48.75,-763.8,3,182,0.6,11,99.5
75,48.75,-763.9,4,182,0.6,11,99.5
76,48.75,-763.1,5,182,0.6,11,99.5
77,48.75,-762.9,6,182,0.6,11,99.5
78,48.75,-762.5,7,182,0.6,11,99.5
79,37.3125,-50,8,182,0.6,11,99.5
80,37.3125,-550,8,182,0,11,99.5
81,37.3125,-161.8,8,182,0,11,99.5
82,37.3125,-300,9,182,0.6,11,99.5
83,37.3125,-300,9,182,0,11,99.5
84,37.3125,-162,9,182,0,11,99.5
85,37.3125,-600,10,182,0.6,11,99.5
86,37.3125,-162.4,10,182,0,11,99.5
87,37.3125,-600,11,182,0.6,11,99.5
88,37.3125,-162.4,11,182,0,11,99.5
89,37.3125,-600,12,182,0.6,11,99.5
90,37.3125,-161.2,12,182,0,11,99.5
91,37.3125,-600,13,182,0.6,11,99.5
92,37.3125,-159,13,182,0,11,99.5
93,37.3125,-600,14,182,0.6,11,99.5
94,37.3125,-155.2,14,182,0,11,99.5
95,37.3125,-600,15,182,0.6,11,99.5
96,37.3125,-155,15,182,0,11,99.5
97,37.3125,-600,16,182,0.6,11,99.5
98,37.3125,-156.4,16,182,0,11,99.5
99,37.3125,-600,17,182,0.6,11,99.5
100,37.3125,-157.6,17,182,0,11,99.5
