"MP","LC","FC","VC"
1752,11,0,24.3375
1753,11,0,23.2875
1754,11,0,37.3125
1755,11,0,74.54
1756,11,0,46.61
1757,11,0,80.39
1758,11,0,95
1759,11,0,58.26
1760,11,0,74.89
1761,11,0,52.21
1762,11,64674,94.73
1763,11,65348,62.39
1764,11,107128,93.43
1765,11,0,76.07
1766,11,0,95
1767,11,0,75.53
1768,11,0,77.55
1769,11,0,90
1770,11,104835,53.92
1771,11,149337,85.14
1772,11,0,76.61
1773,11,0,95
1774,11,0,72.91
1775,11,0,82.25
1776,11,20200,50.5
1777,11,0,99.7
1778,11,1211444,106.92
1779,11,0,46
1780,11,0,47.5
1781,11,81550,45
1782,11,40470,42
1783,11,0,38
1784,11,44257,62.36
1785,11,44257,62.36
1786,11,26016,99
1787,11,56166,99
1788,11,69784,74.08
1789,11,0,81.86
1790,11,42256,82.38
1791,11,45208,84.27
1792,11,60588,81.62
1793,11,39868,83.78
1794,11,27709,100.16
1795,11,0,115
1796,11,0,180.3
1797,11,19052,62.95
1798,11,86000,54.33
1799,11,6000,99
1800,11,6000,131.12
1801,11,6000,132.41
1802,11,6000,102.39
1803,11,6000,139.25
1804,11,6000,118.8
1805,11,6000,96.66
1806,11,6000,138.75
1807,11,6000,130.78
1808,11,6000,121.23
1809,11,0,98.7
1810,11,24000,44.5
1811,11,40000,42
1812,11,50000,45.5
1813,11,0,44.02
1814,11,17000,74
1815,11,17000,77
1816,11,55000,130
1817,11,33000,89
1818,11,0,59.33
1819,11,0,67.05
1820,11,50770,100.05
1821,11,53878,97.3
1822,11,61156,96.11
1823,12,80000,15
1824,12,80000,17
1825,12,140000,180
1826,12,50000,53
1827,12,50000,32
1828,12,0,29.2
1829,12,0,29.3
1830,12,0,29.4
1831,12,0,29.5
1832,12,150000,76
1833,12,150000,76.5
1834,12,20000,73.5
1835,12,20000,71.75
1836,12,50000,73.5
1837,12,57270,99
1838,12,57270,99
