"MP","LC","FC","VC"
1141,11,0,24.375
1142,11,0,23.325
1143,11,0,37.3125
1144,11,0,99.7
1145,11,0,115
1146,11,0,180.3
1147,11,0,98.7
1148,11,0,66.6
1149,11,50770,100.1
1150,11,53878,97.93
1151,11,61156,96.69
1152,11,18600,50.5
1153,11,24000,45.5
1154,11,40000,43
1155,11,50000,45.5
1156,11,70000,83.02
1157,11,17000,74
1158,11,17000,77
1159,11,33000,89
1160,11,0,66.43
1161,11,0,46.61
1162,11,0,77.46
1163,11,0,61.18
1164,11,0,60.53
1165,11,0,95
1166,11,0,80.97
1167,11,98178,52.21
1168,11,65754,96.61
1169,11,66314,64.25
1170,11,108597,93.43
1171,11,0,75.53
1172,11,0,76.07
1173,11,0,77.55
1174,11,0,90
1175,11,106454,55.64
1176,11,151458,85.14
1177,11,0,75.96
1178,11,0,71.53
1179,11,0,71.53
1180,11,0,62.58
1181,11,0,82.25
1182,11,19052,62.95
1183,11,86000,54.33
1184,11,6000,99
1185,11,6000,131.12
1186,11,6000,132.41
1187,11,6000,102.39
1188,11,6000,116.8
1189,11,6000,96.66
1190,11,6000,138.75
1191,11,6000,130.78
1192,11,6000,122.23
1193,11,1211444,106.92
1194,11,0,49.25
1195,11,83387,44
1196,11,83387,45
1197,11,83387,42
1198,11,0,42
1199,11,0,41.26
1200,11,45001,62.36
1201,11,45001,62.36
1202,11,26715,99
1203,11,57530,99
1204,11,71573,74.08
1205,11,0,81.86
1206,11,43183,82.38
1207,11,45171,84.27
1208,11,60161,81.62
1209,11,40942,83.78
1210,11,28040,100.16
1211,12,80000,23
1212,12,80000,18
1213,12,140000,180
1214,12,50000,38
1215,12,50000,32
1216,12,0,29.2
1217,12,0,29.3
1218,12,0,29.4
1219,12,0,29.5
1220,12,150000,76
1221,12,150000,76.5
1222,12,20000,73.1
1223,12,20000,71.65
1224,12,50000,73.5
1225,12,56866,99
1226,12,56866,99
