"H","PH","QH","TH","MP","AR","LH","VH"
1,67.6125,-402.2,1,1141,0.6,11,65
2,67.6125,-402.2,2,1141,0.6,11,65
3,67.6125,-402.2,3,1141,0.6,11,65
4,67.6125,-402.2,4,1141,0.6,11,65
5,67.6125,-402.2,5,1141,0.6,11,65
6,67.6125,-402.2,6,1141,0.6,11,65
7,67.6125,-402.2,7,1141,0.6,11,65
8,67.6125,-402.2,8,1141,0.6,11,65
9,24.375,-80,9,1141,0.6,11,65
10,67.6125,-322.2,9,1141,0,11,65
11,24.375,-120,10,1141,0.6,11,65
12,67.6125,-282.2,10,1141,0,11,65
13,24.375,-120,11,1141,0.6,11,65
14,67.6125,-282.2,11,1141,0,11,65
15,24.375,-120,12,1141,0.6,11,65
16,67.6125,-282.2,12,1141,0,11,65
17,24.375,-120,13,1141,0.6,11,65
18,67.6125,-282.2,13,1141,0,11,65
19,24.375,-135,14,1141,0.6,11,65
20,67.6125,-267.2,14,1141,0,11,65
21,24.375,-275,15,1141,0.6,11,65
22,67.6125,-127.2,15,1141,0,11,65
23,24.375,-381.7,16,1141,0.6,11,65
24,67.6125,-20.5,16,1141,0,11,65
25,24.375,-383.4,17,1141,0.6,11,65
26,67.6125,-18.8,17,1141,0,11,65
27,24.375,-385.3,18,1141,0.6,11,65
28,67.6125,-16.9,18,1141,0,11,65
29,24.375,-386.7,19,1141,0.6,11,65
30,67.6125,-15.5,19,1141,0,11,65
31,24.375,-388.5,20,1141,0.6,11,65
32,67.6125,-13.7,20,1141,0,11,65
33,24.375,-390.9,21,1141,0.6,11,65
34,67.6125,-11.3,21,1141,0,11,65
35,24.375,-392.8,22,1141,0.6,11,65
36,67.6125,-9.4,22,1141,0,11,65
37,24.375,-393.4,23,1141,0.6,11,65
38,67.6125,-8.8,23,1141,0,11,65
39,24.375,-394.4,24,1141,0.6,11,65
40,67.6125,-7.8,24,1141,0,11,65
41,67.6125,-397,1,1142,0.6,11,62.2
42,67.6125,-397,2,1142,0.6,11,62.2
43,67.6125,-397,3,1142,0.6,11,62.2
44,67.6125,-397,4,1142,0.6,11,62.2
45,67.6125,-397,5,1142,0.6,11,62.2
46,67.6125,-397,6,1142,0.6,11,62.2
47,67.6125,-397,7,1142,0.6,11,62.2
48,67.6125,-397,8,1142,0.6,11,62.2
49,23.325,-80,9,1142,0.6,11,62.2
50,67.6125,-317,9,1142,0,11,62.2
51,23.325,-120,10,1142,0.6,11,62.2
52,67.6125,-277,10,1142,0,11,62.2
53,23.325,-120,11,1142,0.6,11,62.2
54,67.6125,-277,11,1142,0,11,62.2
55,23.325,-120,12,1142,0.6,11,62.2
56,67.6125,-277,12,1142,0,11,62.2
57,23.325,-120,13,1142,0.6,11,62.2
58,67.6125,-277,13,1142,0,11,62.2
59,23.325,-140,14,1142,0.6,11,62.2
60,67.6125,-257,14,1142,0,11,62.2
61,23.325,-270,15,1142,0.6,11,62.2
62,67.6125,-127,15,1142,0,11,62.2
63,23.325,-380.7,16,1142,0.6,11,62.2
64,67.6125,-16.3,16,1142,0,11,62.2
65,23.325,-382.4,17,1142,0.6,11,62.2
66,67.6125,-14.6,17,1142,0,11,62.2
67,23.325,-384.3,18,1142,0.6,11,62.2
68,67.6125,-12.7,18,1142,0,11,62.2
69,23.325,-385.7,19,1142,0.6,11,62.2
70,67.6125,-11.3,19,1142,0,11,62.2
71,23.325,-387.5,20,1142,0.6,11,62.2
72,67.6125,-9.5,20,1142,0,11,62.2
73,23.325,-389.9,21,1142,0.6,11,62.2
74,67.6125,-7.1,21,1142,0,11,62.2
75,23.325,-391.7,22,1142,0.6,11,62.2
76,67.6125,-5.3,22,1142,0,11,62.2
77,23.325,-392.3,23,1142,0.6,11,62.2
78,67.6125,-4.7,23,1142,0,11,62.2
79,23.325,-393.4,24,1142,0.6,11,62.2
80,67.6125,-3.6,24,1142,0,11,62.2
81,48.75,-764.5,1,1143,0.6,11,99.5
82,48.75,-764.5,2,1143,0.6,11,99.5
83,48.75,-764.9,3,1143,0.6,11,99.5
84,48.75,-765.1,4,1143,0.6,11,99.5
85,48.75,-766.2,5,1143,0.6,11,99.5
86,48.75,-766.9,6,1143,0.6,11,99.5
87,48.75,-767.3,7,1143,0.6,11,99.5
88,37.3125,-50,8,1143,0.6,11,99.5
89,37.3125,-550,8,1143,0,11,99.5
90,37.3125,-166.7,8,1143,0,11,99.5
91,37.3125,-300,9,1143,0.6,11,99.5
92,37.3125,-300,9,1143,0,11,99.5
93,37.3125,-166.8,9,1143,0,11,99.5
94,37.3125,-600,10,1143,0.6,11,99.5
95,37.3125,-165.1,10,1143,0,11,99.5
96,37.3125,-600,11,1143,0.6,11,99.5
97,37.3125,-160.8,11,1143,0,11,99.5
98,37.3125,-600,12,1143,0.6,11,99.5
